title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
Segue o Baile,rock,BRAZA,2016,1403,{},"[Letra de ""Segue o Baile"" com BRAZA]

[Refrão]
Escrevo porque não tenho o dom do freestyle
Ela quebra, requebra, remexe ao som do timbale
O agora é a única coisa que vale
Se erra, conserta, volta pro tom, e segue o baile

[Verso 1]
Segue o baile, segue a vibe até o amanhecer
Que momento! No talento, faz por merecer
Troca o disco, corre o risco, e vamo sem dublê
À mercê do que não se pode prever

[Pré-Refrão]
A massa reunida é um lazer só
Vagabundo se diverte on the floor
Seguindo a embolada, vai no reggae, vem no ragga
Grajamaica na pegada hardcore

[Refrão]
Escrevo porque não tenho o dom do freestyle
Ela quebra, requebra, remexe ao som do timbale
O agora é a única coisa que vale
Se erra, conserta, volta pro tom, e segue o baile
[Verso 2]
Segue o baile, segue a vibe, nous sommes arrivés
E a danada da cachaça é massa, faz arder
Eu respeito e dou direito a quem quer karatê
Mas eu só fico no THC

[Pré-Refrão]
A massa reunida é um estopim
Vale muito mais que ouro e marfim
Fluindo na jornada, não se compra, não se paga
A emoção que diz: “Ainda bem que eu vim”

[Ponte Instrumental]

[Refrão]
Escrevo porque não tenho o dom-dom-dom-dom-dom
Quebra, requebra, remexe ao som
E-e-e-eu, o agora é a única coisa que vale
Se erra, conserta, volta pro tom, e segue o baile

Escrevo porque não tenho o dom do freestyle
Ela quebra, requebra, remexe ao som do timbale
O agora é a única coisa que vale
Se erra, conserta, volta pro tom, e segue o baile

[Saída]
Segue, segue, se-segue, segue o baile
Segue o baile
Segue o baile
Segue o baile",2444579,pt,pt,pt
Nesta Última Noite,rap,MC OZ,2016,16,"{""B\\'ta F""}","[Verse 1: B'ta F]
Bota um filme, baby-boo
Hoje não saímos desta manta
Relaxa, realiza, da vida não resta tanta
Kiss na testa, estanca
Uma festa e girei um gin
Com esta cara de santa
Não te imaginei assim
Esse assenho nos loops
Sabes que eu venho sem truques
Sigo o desenho que há em ti
E no fim, banho para os duques
Salpicos, trips, rumo para a vodka
E tu dizes que eu me alisto, mas és tu que provocas
Só procuro se voltas, no fim de cada semana
E se curo com voltas e vinho também se grama
Shhh, olha a lua, eu juro que vejo o teu esboço
Leva nos à manhã, com um beijo meu no teu pescoço
Shhh, já é tarde
Shhh, dá-me amor em forma de arte
Pintemos algo lindo, numa folha que escolhes
De alma nua, é calma a tua, enquanto me olhas nos olhos
[Hook: B'ta F]
Nesta Última Noite

[Verse 2: Mc Oz]
Tu destacas-te quando apareces, perfumada e com brilhantes
Deixas-me rendido e fazemos promessas como amantes
A minha vida é escuridão, e nesse escuro tu és a luz
Não me peças para expressar, o que nenhuma expressão traduz
Mostras a carência de quem só quer a minha presença
Não és do tipo que faça falta, és do tipo faz a diferença
A noite cai e tu cintilas, vamos ouvir um som de rock
Cada nota, eu senti-a e sabes os meus sons de cor
E à noite, no meu anexo, suspiras que sou o melhor
Mergulhamos nos lençóis  e o sexo é hardcore
Mergulhamos no destino, um sítio novo em cada sonho
E eu mergulho neste ofício em cada verso que eu componho
Acompanha me, porque a saudade não parte
Amor é um transtorno que eu ponho na arte
Amor é suborno que me oponho a pagar-te
Porque amor é só contorno, e eu só sonho em amar-te

[Hook: B'ta F]
Nesta Última Noite",2444596,pt,pt,pt
Oxalá,rock,BRAZA,2016,1173,{},"[Letra de ""Oxalá"" com BRAZA]

[Refrão]
Subi a escadaria para me benzer
E pedi ajuda para Oxalá
Consultei os astros para entender
Lua cheia, eu me batizei no mar

[Verso 1]
Habeas Corpus moral, apneia mental
Imperativo espiritual
O fogo queima, o coral corta
Se não há risco a criatura é morta
Só você pode se conhecer
Seu equilíbrio, sua verdade
Se aquele instinto é uma necessidade
E a trindade nesse trinômio:
Você, seus anjos e seus demônios
(Você, seus anjos e seus demônios)

[Refrão]
Subi a escadaria para me benzer
E pedi ajuda para Oxalá
Consultei os astros para entender
Lua cheia, eu me batizei no mar
[Verso 2]
(O que eu estou fazendo da minha vida?)
O que eu estou fazendo da minha vida?
Lambendo a carne viva com o dedo na ferida
Brindando a existência e aprendendo a distinguir
A hora de refrear, a hora de transgredir
Chorando minhas dores, moldando meus valores
Tacou pedra, finto a pedra. Tacou flores, voltam flores
É uma linha tênue, é menos que um semitom
Quando o bom não é o certo, quando o certo não é bom

[Refrão]
Subi a escadaria para me benzer
E pedi ajuda para Oxalá
Consultei os astros para entender
Lua cheia, eu me batizei no mar

[Verso 3]
Ah, minha vida toda! Um ato de desapego
Do corpo, do casamento, do parente, do emprego
Fé é confiança, no que quer que se invista
Tem fé o ateu, tem fé o cientista
Me curvo humildemente ante aquilo que não sei
Acredito no Amor, ganho o jogo no fair play
Só não espero a providência pra encontrar a minha essência
Pois não há um salvador que nos tire essa incumbência
[Refrão]
Subi a escadaria para me benzer
E pedi ajuda para Oxalá
Consultei os astros para entender
Lua cheia, eu me batizei no mar

Subi a escadaria para me benzer
E pedi ajuda para Oxalá
Consultei os astros para entender
Lua cheia, eu me batizei no mar",2444627,pt,pt,pt
Ginza Anitta Remix,pop,J Balvin,2016,6975,{Anitta},"[Letra de ""Ginza (Anitta Remix)"" ft. Anitta]

[Intro]
Infinity

[Chorus: J Balvin]
Si necesita reggaetón, ¡dale!
Sigue bailando, mami no pare
Acércate a mi pantalón, ¡dale!
Vamos a pegarnos como animales
Si necesita reggaetón, ¡dale!
Sigue bailando, mami no pare
Acércate a mi pantalón, ¡dale!
Vamos a pegarnos como animales

[Verse 1: Anitta]
Entra no meu ritmo, sente o magnetismo
Meu jogo de sedução é um perigo
Nada é proibido, mas te dou um aviso
Deixa o telefone que se eu lembrar te ligo
Mas vou deixar você passando mal
Seu jeito sexy não tem igual
A gente tem um lance especial
E uma vontade fora do normal
[Pre-Chorus: J Balvin]
Si te dan ganas de bailar, pues dale
En esta disco todos somos iguales
Te ves bonita con tu swing salvaje
Sigue bailando que pa' eso te traje

[Chorus: J Balvin]
Si necesita reggaetón, ¡dale!
Sigue bailando, mami no pare
Acércate a mi pantalón, ¡dale!
Vamos a pegarnos como animales
Si necesita reggaetón, ¡dale!
Sigue bailando, mami no pare
Acércate a mi pantalón, ¡dale!
Vamos a pegarnos como animales

[Bridge: Anitta (J Balvin)]
Eu vou deixar você imaginando
(Sexy baila y me deja con las ganas)
Eu vou deixar você imaginando
(Sexy baila y me deja con las ganas)

[Verse 2: Anitta (J Balvin)]
É nesse som que meu corpo se agita
Eu te provoco e me jogo na pista
(Sexy baila y me deja con las ganas)
O teu olhar me devora e deseja
Sei que você quer provar meu amor
Então me mostre o que sabe
[Chorus: J Balvin]
Si necesita reggaetón, ¡dale!
Sigue bailando, mami no pare
Acércate a mi pantalón, ¡dale!
Vamos a pegarnos como animales
Si necesita reggaetón, ¡dale!
Sigue bailando, mami no pare
Acércate a mi pantalón, ¡dale!
Vamos a pegarnos como animales

[Outro: J Balvin]
One, two, three
Leggo'
Brasil
J Balvin, man
The bussines
Anitta
Sky rompiendo el bajo
La familia
Mosty
Leggo'
Bull Nene
Fame
Infinity
Leggo', leggo', leggo'
Ginza
Leggo', leggo', leggo'
C'mon
Reggae(latin)-Reggaeton",2444733,pt,pt,pt
Normal,rock,BRAZA,2016,397,"{""Monkey Jhayam""}","[Letra de ""Normal"" com BRAZA feat. Monkey Jhayam]

[Refrão]
Quebrando paradigma para não ficar dormente
Diante do enigma ou mero acidente
Nossa força é digna, é o elo da corrente

[Verso 1]
Sorte
Na disposição a gente dropa e põe no corte
Sangue e suor vêm incluídos no pacote
Tamo protegido e atento ao rebote
Rio de Janeiro, parceiro, tem que ter
Sorte
Mesmo sendo ateu tu pode crer que o santo é forte
Moro lá na sul, mas com sangue da zona norte
Bonde onde o lema é independência ou morte
Rio de janeiro, parceiro, é

[Pré-Refrão]
Normal, chega na humilde que é tratado igual
Ligação direta que não tem ramal
Sente a atmosfera, relaxa se pá espera
Vem com garra e na cautela, aí fera, não leve à mal
Normal, chega na humilde que é tratado igual
Ligação direta que não tem ramal
Sente a atmosfera, o surdo que reverbera
Tipo a série em Zicatela, é à vera, é normal

[Refrão]
Quebrando paradigma para não ficar dormente
Diante do enigma ou mero acidente
Nossa força é digna, é o elo da corrente

[Verso 2]
Rio de Janeiro, São Paulo, Brasil
Palavra que fere mais que bala de fuzil
Munição no pente, pronto para atirar
Se apertar o gatilho não tem volta
Puro Faya! Levando a mensagem no hardcore ou no naya
Contra o sistema que ramela e só da falha
Mira direcionada pra toda maracutaia
Com nós e no fio da navalha
Brasa viva que queima a babylon
Se espalha como lava de vulcão
Fogo ardente que dispara o canhão
Trazendo autoestima para todos irmãos
Saia, esse jogo político te leva ao nada
Nossa música crava estaca no vampaia
Toda a corja do mal que quer ver meu povo na lama
Nunca possuirão nossa alma
[Refrão]
Quebrando paradigma para não ficar dormente
Diante do enigma ou mero acidente
Nossa força é digna, é o elo da corrente

[Verso 3]
Rema!
O ser é um artista e a vida é seu poema
E essa mesma vida é curta pra ser pequena
Dentro dele próprio está a chave da algema
Tamo nessa GIG, então vive, se joga e
Rema!
Vou dançar descalço na brasa da mãe suprema
Mando ir embora a culpa que envenena
Tá tudo perdoado, sintonizo minha antena
Calma no terreiro, guerreiro, que é

[Pré-Refrão]
Normal, chega na humilde que é tratado igual
Ligação direta que não tem ramal
Sente a atmosfera, relaxa se pá espera
Vem com garra e na cautela, aí fera, não leve à mal

Normal, chega na humilde que é tratado igual
Ligação direta que não tem ramal
Sente a atmosfera, o surdo que reverbera
Tipo a série em Zicatela, é à vera, é normal
[Refrão]
Quebrando paradigma para não ficar dormente
Diante do enigma ou mero acidente
Nossa força é digna, é o elo da corrente",2444738,pt,pt,pt
Discos revisados,misc,Genius Brasil,2016,333,{},"Negrito = Discografia Completa Transcrita no Genius

#
5 a Seco
7Minutoz

A
Adoniran Barbosa
Alceu Valença
Alok
Arnaldo Antunes
Arnaldo Baptista
Arrigo Barnabé
Audioclan

B
Baco Exu do Blues
Baleia
Bonde da Stronda
Boogarins
BNegão & Os Seletores de Frequência
C
Cacife Clandestino
Cacife Gold
Caetano Veloso
Cartel MC's
Cartola
Cérebro Eletrônico
Céu
Chico Buarque
Cidade Verde Sounds
Costa Gold
Criolo
Curumin

D
Dalsin
Derek
Diego Thug
Diomedes Chinaski
Dfideliz
Djavan
Djonga
Do Amor
Don Cesão
Don L
Dorival Caymmi
E
Elis Regina
Elizeth Cardoso
Elo da Corrente
Elza Soares
Emicida
Engenheiros do Hawaii
Entre Linhas
Erasmo Carlos
Exaltasamba

F
Fabio Brazza
Fagner
Froid

G
Gal Costa
Geraldo Azevedo
Gilberto Gil
Gui Amabis
Gustavo G.N

H
Haikaiss
Humberto Gessinger
I
Ira!
Itamar Assumpção

J
Jards Macalé
Jé Santiago
João Gilberto
Jorge Ben Jor
Jorge Vercillo

K
Kamau

L
Larissa Luz
Legião Urbana
Lenine
Lô Borges
Los Hermanos
Lucas Santtana
Luiz Melodia

M
Mag
Marcelo D2
Maria Bethânia
Marisa Monte
Matuê
MC Garden
MC Orochi
Milton Nascimento
Mussa
Mundo Livre S/A

N
Nação Zumbi
Nando Reis
Negra Li
niLL
Novos Baianos

O
O Rappa
O Teatro Mágico
Os Mutantes
Oswaldo Montenegro
Otto

P
Pacificadores
Pato Fu
Paulinho da Viola
Pixote
Projota

Q

R
Racionais MC's
Rael
Rashid
Raul Seixas
Recayd Mob
Roberto Carlos
Rodrigo Campos
RPM
Rubel
RZO

S
Sabotage
Scoppey
Secos & Molhados
Seu Jorge
Simples
Síntese
Son d'Play
Sorriso Maroto

T
Tim Maia
Toquinho
Tom Jobim
Tom Zé
Tribo da Periferia
Tubaína
Turma do Pagode

U
Um Barril de Rap

V
Vanguart
Vários Artistas
Vinícius de Moraes


X

W
Wado
Wilson Simonal

Y
Yung Buda

Z
ZAPI",2444739,pt,pt,pt
Embrasa,rock,BRAZA,2016,528,{},"[Letra de ""Embrasa"" com BRAZA]

[Intro]
(Ô Sol!)
(Ô Sol!)

[Refrão]
E eu vou pra Maracangalha
Bailar depois da batalha
E eu vou pra Maracangalha
Viver e fazer que valha

[Verso 1]
Embrasa, sente em casa, que tá bom pra mim
Passa bola, não enrola que hoje eu tô afim
Abre a roda que tá foda, vai mexendo assim
Arrasta a sandália e vai no passim
Se afasta energia nefasta
Que o tempo se arrasta pro fim
Se mostra com a alma exposta
Não espere resposta de mim
Já basta de canalha e coisa ruim
Morde a faca, pé na jaca
E vai descendo assim
Eu me perco quando ela mexe o bumbumbum
Se o amigo tá zerado faz um ratatá
E se os homi vem e chegam é um zumzumzum
E falar mal do sistema é um pega pra capar
[Refrão]
E eu vou pra Maracangalha
Bailar depois da batalha
E eu vou pra Maracangalha
Viver e fazer que valha

[Verso 2]
A vida tá sofrida pros sem abadá
Cruel é o aluguel e as contas pra pagar
Pesado o mercado e o IPCA
Mas me esforço, tudo nosso, sem colher de chá
Artista terceiro mundista
O som é pra pista embrasar
Ô glória! Façamos história
Que a nossa vitória é pra já
Porque estar vivo é motivo pra comemorar
Em frente, bravamente, que pra trás não dá

[Ponte]
E é só alegria se o bagulho é do bom
Lá do baile em Madureira ao barzin no Leblon
Quero ver acelerar e acompanhar o debom
Porque quase todo dia é dia de réveillon

[Refrão]
E eu vou pra Maracangalha
Bailar depois da batalha
E eu vou pra Maracangalha
Viver e fazer que valha
[Saída]
(Ô Sol!)
(Ô Sol!)",2444743,pt,pt,pt
Além,rock,BRAZA,2016,391,{},"[Tradução de ""Além"" com BRAZA]

[Intro Instrumental]

[Refrão 1]
Encontrar em si o além
E transpor o mal e o bem
Quando enxergo com amor
A incerteza de quem sou

[Refrão 2]
Ergo os meus braços e meu coração
Por cada grão
E cada gota desse mar
Glória à força viva que atua em mim
O bom e o ruim
A vida vem nos lapidar

Ergo os meus braços e meu coração
Por cada grão
E cada gota desse mar
Glória à força viva que atua em mim
[Refrão 1]
Encontrar em si o além
E transpor o mal e o bem
Quando enxergo com amor
A incerteza de quem sou

[Ponte Instrumental]

[Verso]
Ajoelho-me diante desse altar
Conduza-me adiante, faz me par
Dói quando nos mói ao depurar
Cada teu herói que luta
No quebrar das ondas, no rever dos fatos
No pagar das contas, no lavar dos pratos
E vê a multidão que corre, e se dissolve
Cada ator que nasce, cumpre seu papel e morre
Cada ator que nasce, cumpre seu papel e morre

[Refrão 2]
Ergo os meus braços e meu coração
Por cada grão
E cada gota desse mar
Glória à força viva que atua em mim
O bom e o ruim
A vida vem nos lapidar
Ergo os meus braços e meu coração
Por cada grão
E cada gota desse mar
Glória à força viva que atua em mim

[Saída Instrumental]",2444754,pt,pt,pt
Pedro Pedreiro Parou de Esperar,rock,BRAZA,2016,583,"{""Eduardo Marinho""}","[Letra de ""Pedro Pedreiro Parou de Esperar"" com BRAZA]

[Verso 1]
(Fé em Deus!)
Nasci pobre, favelado, sem recato e sem madrinha
Vi meu pai estuprar minha mãe, muito doido de farinha
Logo cedo fui pro mundo, assaltar, catar latinha
Tinha sangue nos meus olhos porque a raiva me convinha
Cresci na rua e vi a crua crueldade do animal
De cimento fiz a cama e de grades meu varal
Desprovido e excluído no sentido literal
Menos apto segundo o darwinista social
Aos vinte veio a sorte num abrigo milagreiro
Onde aprendi as letras e o ofício de pedreiro
Acordava ainda escuro, no flagelo por dinheiro
Não esperava do futuro o alívio derradeiro

[Refrão]
Construí um shopping onde eu nunca passeei
Prédios e escolas onde eu nunca estudei
[Verso 2]
Ao lado de Mariléia eu formei uma família
E o amor que nunca tive, vi nos olhos da minha filha
No mar competitivo meu lar era uma ilha
Até que um dia o infortúnio cruzou a minha trilha
Canelas pretas e blindados invadindo a favela
Gritaria, moto-taxis, confronto na viela
Um senhor de braços fortes como um escravo de Benguela
Agonizava nos meus braços, alvejado na costela
Toda a minha vida e o que vira até então
Fez sentido nas palavras desse velho ancião:
“Vítimas e algozes, todos somos, todos são
Nas metrópoles em chamas, irmão contra irmão”

[Refrão]
Não espero mais a morte, nem o norte nem o trem
Eu me chamo Pedro, e você sou eu também

[Saída Instrumental]",2444751,pt,pt,pt
We Are Terceiro Mundo,rock,BRAZA,2016,521,{},"[Letra de ""We Are Terceiro Mundo"" com BRAZA]

[Verso 1]
Depois da bossa nova e do clichê tropical
Muito mais do que novela, futebol e carnaval
É a periferia multicultural
Espontânea rebeldia de um Brasil marginal
Polícia, milícia, medo e coerção
Latifúndio da terra e da comunicação
É o índio de Iphone, é o menino de Belém
E a novinha de barriga pra ganhar outro neném
Tem racismo? Tem. E um abismo, man
Entre a cerveja artesanal e o camelô que vem no trem
Esgoto a céu aberto, telha de amianto
Tem padre, pastor, tem pajé e pai de santo
A floresta sente o fel, o agrobusiness quer bis
Do poder do anel na caneta do juiz
Mas o instinto criativo dribla a sanha opressora
Porque em terra de saci, qualquer chute é voadora

[Verso 2]
São muitos os Brasis, perceba no sotaque
Mas todos gritam juntos com a seleção no ataque
Coxinha, petralha, Gregório, Constantino
Sem água na torneira têm o mesmo destino
De carona nos tratores do progresso inevitável
Haja eucalipto e copinho descartável
Se o Neymar é pica, se a Gisele é zica
O deputado mais votado da eleição é o Tiririca
Onde tudo se discute, menos a democracia
Sequestrada e amputada, Saramago advertia
A cultura cria, o mercado se apropria
“Je suis Amarildô”, mas a justiça tem miopia
O que não tem é derrotismo que abale a auto-estima
Do mulato, bastardo, anti-herói, Macunaíma
Bota água no feijão e afina o tamborim
De cabeça erguida ostento o orgulho tupiniquim
[Saída Instrumental]",2444757,pt,pt,pt
Subindo Santa,rock,BRAZA,2016,564,{},"[Letra de ""Subindo Santa"" com BRAZA]

[Verso 1]
Não sei se foi o Haxi, só sei que foi confuso
Não sei se me permito, não sei se me abuso
É um desalento doido, é uma coisa assim que dá
Preciso me esvair, preciso vomitar

Vida, milagre mesmo quando te estraçalha
Krishna e Arjuna estão no campo de batalha
Aumento o som do fone pra tapar o da sirene
E não há moral ou crença no mundo que me condene

Penso na morte, no norte, no corte, no século XXI
E que o moleque amarrado no poste, não come sashimi de atum
Geração Gratidão, saudação ao Sol
Sociedade dopada de Prozac e Rohypnol

Inevitável são tristeza e aflição
Mas triste é essa moda de angústia e depressão
Porque Deus é verbo, não é substantivo
Então enxuga esses olhos porque, mano, tu tá vivo!
[Verso 2]
Eu quero é ver e ser visto, querer e ser quisto
Sem culpa cristã, no amor de Jesus Cristo
Quero a geladeira cheia, expressar-me por inteiro
Às vezes mais Chorão, às vezes mais Camelo

Tá tudo por um fio, tá tudo por um triz
E todo ser humano quer amar e ser feliz
Por isso nego samba, brinca, queima sutiã
Por isso tá explicado o sucesso do Instagram

Mondrian, Matisse, Basquiat e Soulages
Churrasquinho de peixe com a rapeize na laje
Massagem da gata, pimenta, proposta
E um tapinha na bunda, com carinho ela gosta

Eu quero tudo isso, quero vê geral crescer
Quero ver geral se amando, tipo em onda de MD
Não é inconsequência, nem rebeldia vã
Mas só por hoje a noite, que se foda o amanhã",2444761,pt,pt,pt
Tanto,rock,BRAZA,2016,425,"{""Alexandre Carlo""}","[Letra de ""Tanto"" com BRAZA feat. Alexandre Carlo]

[Refrão: Danilo Cutrim, Alexandre Carlo]
Quanto
Ele e ela e o gosto do encanto
Puro acaso escrito entre tantos
Deixa a vida unir ou separar

Quanto
Ele e ela e o gosto do encanto
Puro acaso escrito entre tantos
Deixa a vida unir ou separar

[Verso 1: Alexandre Carlo]
Tanto, depois de um dia de gala
Janeiro banhava a cidade
Com o hálito fresco da noite
E o céu tropical cintilava
Saíram pra rua sorrindo
O show prometia o bailado
De almas que, interagindo
Viviam o seu bronzeado
[Pré-Refrão: Alexandre Carlo]
Dos copos na mão, aos corpos ao chão
Mostrando a intenção, não tinham noção do

[Refrão: Danilo Cutrim, Alexandre Carlo]
Quanto
Ele e ela e o gosto do encanto
Puro acaso escrito entre tantos
Deixa a vida unir ou separar

Quanto
Ele e ela e o gosto do encanto
Puro acaso escrito entre tantos
Deixa a vida unir ou separar

[Verso 2: Danilo Cutrim]
Tanto, na hora em que o brilho dos olhos
Diz muito mais do que os lábios
E fluem por todos os poros
Hormônios sinceros e sábios
A sede do instinto pedindo
Transcende o certo e o errado
E o Amor que se basta existindo
Não tem que ser justificado

[Pré-Refrão: Danilo Cutrim]
Num quarto pra dois, verdade é o que sois
A Lua se pôs, o que vem depois?
[Interlúdio Instrumental]

[Refrão: Danilo Cutrim, Alexandre Carlo]
Quanto
Ele e ela e o gosto do encanto
Puro acaso escrito entre tantos
Deixa a vida unir ou separar

Quanto
Ele e ela e o gosto do encanto
Puro acaso escrito entre tantos
Deixa a vida unir ou separar",2444762,pt,pt,pt
Jaya,rock,BRAZA,2016,335,{},"[Letra de ""Jaya"" com BRAZA]

[Intro]
Jaya!
E se der sol de manhã, é praia
Se der lua de noite, é faya!
Minha fé, minha guardiã

[Instrumental]

[Verso 1]
Fogo que arde, angustia
Vida, milagre, que recria
Tempo é remédio, anistia
Certo é que não há garantia

[Pré-Refrão]
E eu, desconstruindo eu
E nós

[Refrão]
Jaya!
E se der sol de manhã, é praia
Se der lua de noite, é faya!
Minha fé, minha guardiã
Jaya!
Antes que a humanidade caia
Corre o mundo e bota a cara
Porque não existe amanhã

[Verso 2]
Arte, que cobra ousadia
Mundo é palco, poesia
Vento Sudoeste anuncia
“Faz teu melhor e confia”

[Pré-Refrão]
E eu, desconstruindo eu
E nós

[Refrão]
Jaya!
E se der sol de manhã, é praia
Se der lua de noite, é faya!
Minha fé, minha guardiã

Jaya!
Antes que a humanidade caia
Corre o mundo e bota a cara
Porque não existe amanhã
[Quebra]
Jaya!

[Pré-Refrão]
E eu, desconstruindo eu
E nós

[Ponte Instrumental]

[Refrão]
Jaya!
E se der sol de manhã, é praia
Se der lua de noite, é faya!
Minha fé, minha guardiã

Jaya!
Antes que a humanidade caia
Corre o mundo e bota a cara
Porque não existe amanhã

[Saída Instrumental]",2444765,pt,pt,pt
Doméstica,rock,Eduardo Dussek,2016,90,{},"Foi trabalhar recomendada pra dois gringos
Logo assim que chegou do interior
Era um casal tipo metido a granfino
Mas o salário era tipo um horror

A tal da madame
Tinha a mania esquisitona de bater
E baixava a porrada
Quando a coisa tava errada não queria nem saber

Doméstica... Ela era doméstica
Sem carteira assinada
Só caía em cilada
Era empregada doméstica

Nunca notou a quantidade de giletes
Não reparou a mesa espelhada no salão
Não perguntou o que que era um papelote
Baixou ""os home"" ela entrou no camburão

Na delegacia sua patroa americana ameaçou:
""Lembra que eu sou uma milionária
Eu fungava de gripada
Não seja otária por favor.""
Doméstica... Traficante disfarçada de doméstica
Era manchete nos jornais
O casal lhe deu pra trás
Sujando brabo pra doméstica

No presídio aprendeu com as companheiras
A se dar bem e a descolar como ninguém
Ficou famosa no ambiente carcerário
Como a mulata que nasceu pra ser alguém

Pois não é que a doméstica
Conseguiu uma prisão doméstica
Saiu por bom comportamento
Mas jurou nesse momento
Vingar a raça das domésticas

Então alguém lhe aconselhou logo de cara
""Dá um passeio, vê se arranja um barão""
Porque melhor que o interior de uma cela
E ter turista e faturar no calçadão

Até que um dia
Um Mercedinho prateado buzinou
Era um louro alemão que lhe abriu a porta do carro
E lhe pagou um boquetão
Doméstica...virou uma baronesa doméstica
Mesmo com as taras do barão
Segurou a situação
Levando uma vida doméstica

Realizada em sua mansão em Stutgard
Ouvindo Mozart e Beethoven de montão
Com um pivete mulatinho pela casa
Que era herdeiro de olho azul como o barão

Precisou de uma babá
Botou um anúncio bilíngüe no jornal
Seu mordomo abriu a porta
Uma loira meio brega, uma yankee de quintal

Doméstica...era a americana de doméstica
A nêga deu uma gargalhada, disse:
""Agora tô vingada, tu vai ser minha doméstica""",2444952,pt,pt,pt
5 Momentos Genius: Conhecendo Nego E,misc,Genius Brasil,2016,325,{},"Caso ainda não conheça Nego E, posso garantir que está perdendo um dos artista do rap nacional mais interessantes. O MC já teve um mixtape, um álbum e algumas participações/músicas solos avulsas lançadas. Aqui no Genius temos as músicas lançadas a partir de sua ótima estréia oficial, ""autorretrato"" (2014).

Separamos 5 Momentos Genius do artista com as músicas que temos aqui no site para você entender o porquê do Nego E e a Artefato serem um movimento no rap para se ter atenção.I.De pernas fechadas e os soldados vendados (ironia)
Dormiu com o pelotão que a fuzilaria
“Cuida bem do meu filho”, seu último desejo
Condenada a morte, se despediu com um beijoEm ""Mata Hari"", Nego E mostra toda sua habilidade de storytelling. O MC conta a história de uma dançarina exótica em versos com detalhes vívidos que fazem o ouvinte se envolver pela trama. Neste desfecho destacado, percebemos ainda a convicção da personagem se misturando com as ideias do próprio NE a respeito das mulheres que lutam pelo seus direitos.II.Entrego entre tragos e café, trago com fé
Justiceiro cego, Demolidor em guerrilha em péReferências amigos, muitas referências. Nas letras do Nego E percebemos um apreço pela composição de informações que provém de diversas fontes. Em ""Anti-Herói"", o MC descreve linha tênue entre ser herói e anti-herói no dia-a-dia. Para isso, nestas linhas destacadas, ele usa o personagem Demolidor da Marvel, que vive constantemente este dilema por ser advogado durante o dia e justiceiro durante a noite. Além disso, há uma comparação com sua arte e como ela pode ser tomada como motivação para o ouvinte.III.Denuncio como Barbosa, tenho um sonho: sou Luther King
Agrido como Malcolm e se preciso Ali no ringue
Vou pro exílio: sou Mandela, igual Zumbi supero o flagelo
Cada barraco da favela eu quero ver virar um casteloEm ""Tinha Que Ser"", décima faixa do seu álbum, temos uma faixa dedicada a cultura negra, um elementos que você encontrará em todas as músicas do Nego E. Inclusive a própria imagem do MC não deixa essa característica passar despercebida. Nesta linhas vemos um ótimo jogo de palavras com alguns dos nomes mais importantes da cultura negra, característica perpassa todas as músicas do artista.IV.Tem olhos no horizonte no óculos o reflexo
Relaxante, boa música, excitante, bom sexo
Pedra preciosa, safira, inspira, diamante
Codeína e Dorflex, nosso caso é complexoNego E é um romântico e não esconde, muitas faixas que levam essa temática é onde podemos perceber bastante sentimento vindo do MC. Além disso, notamos que o MC evita que suas composições reproduzam esteriótipos machistas ao mesmo tempo que valorizam a mulher, em especial a mulher negra. Em ""Caos"", assim como em ""Clímax"", o ato sexual aparece nas rimas, porém evidenciando o prazer para o casal. Linhas de tirar o fôlego, amigo.V.Eu sou tão jovem e já me sinto exausto
Matam gente igual a mim e não chamam de holocausto
Cansado, tão mexendo com os caras errados
Chapa, eu vou tomar a cena por todo os ladosEm uma de suas faixas mais recentes, ""DDI (Free Verse)"", Nego E chega em um tom agressivo. Falando da sua curta, mas intensa carreira, ele evidencia suas conquistas e aspirações. Também traz o preconceito como parte da temática. O MC deixa todas as suas frustrações em em linhas impactantes, como estas destacadas que tratam tanto do preconceito quanto de sua vontade de roubar a cena do rap nacional, e em um refrão bem grudento.Esses momentos destacados são só algumas das rimas de qualidade do Nego E, que também decifra suas próprias rimas aqui no site mostrando muitas fontes de informação que serviram de inspiração. Em breve teremos o lançamento do seu novo projeto chamado ""Oceano"", então não perca tempo, confira a conta verificada do artista e suas letras aqui no site.",2444980,pt,pt,pt
